# doc pdvd/99 sec 4.4 -- p99rwon against p99rgon (pctree/tlas against p99rgon) on the 84 events with frame length 6400; d99rw_identity.py
039349_0: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_33: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_34: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_35: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_36: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_37: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_38: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_39: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_4: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_40: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_41: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_42: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_43: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_44: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_45: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_46: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_47: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_48: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_49: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_5: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_50: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_51: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_52: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_53: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_54: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_55: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_56: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_57: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_58: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_59: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_6: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_60: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_61: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_62: differs   | pctree DIFFERS | tlas identical (readout_window_ticks=6400) | pr DIFFERS 66/343 (tracking-pr.root:T_cluster/cluster_id, tracking-pr.root:T_cluster/in_scope, tracking-pr.root:T_cluster/is_main, tracking-pr.root:T_cluster/is_associated ...) | mabc-pr DIFFERS 24/25 vs 25
039349_63: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_64: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_65: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_66: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_67: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_68: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_69: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_7: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_70: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_71: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_72: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_73: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_74: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_75: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_76: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_77: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_78: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_79: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_8: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_80: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_81: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_82: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_83: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
039349_9: IDENTICAL | pctree identical | tlas identical (readout_window_ticks=6400) | pr identical (343 branches) | mabc-pr identical 25/25 vs 25
SUMMARY p99rwon vs p99rgon, frame length 6400: identical 82/84
